TotalSteps,TotalDistance,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,StepsPerMinute,DistancePerStep,VeryActiveRatio,SedentaryRatio,ActiveMinutesTotal,ActivityScore,EffectiveActiveTime,ActivityLevel,Gender,Age,VeryActiveDistance_norm,ModeratelyActiveDistance_norm,SedentaryActiveDistance_norm,VeryActiveMinutes_norm,FairlyActiveMinutes_norm,Calories_norm,StepsPerMinute_norm,DistancePerStep_norm,VeryActiveRatio_norm
13162.0,8.5,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728,1985.0,35.96174863387978,0.0006457985108646102,0.22117647002725058,0.5055555555555555,366.0,429.0,0.33455210237659966,High,Male,28,1.0577902924921705,0.43825493862207715,0.0,3.258096538021482,2.6390573296152584,7.593877844605118,3.60988355717705,0.6934492356673058,0.19981471378209126
10735.0,6.96999979019165,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21.0,19.0,217.0,776,1797.0,41.7704280155642,0.0006492780428683419,0.22525109034600424,0.5388888888888889,257.0,318.0,0.24878993223620524,High,Female,57,0.9439059193165018,0.5247285275242212,0.0,3.091042453358316,2.995732273553991,7.494430215031565,3.7558469295669106,0.6934474964252172,0.2031457947038831
10460.0,6.73999977111816,6.73999977111816,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30.0,11.0,181.0,1218,1776.0,47.11711711711712,0.0006443594427455219,0.3620178249376507,0.8458333333333333,222.0,293.0,0.15416666666666667,High,Female,43,1.2354714880191615,0.33647224087868716,0.0,3.4339872044851463,2.4849066497880004,7.482681828154651,3.873637979027436,0.6934499549838006,0.3089672949674171
9762.0,6.28000020980835,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29.0,34.0,209.0,726,1745.0,35.88970588235294,0.0006433108184601874,0.34076433653009025,0.5041666666666667,272.0,364.0,0.2725450901803607,Medium,Male,60,1.1442228333291327,0.815364809064398,0.0,3.4011973816621555,3.5553480614894135,7.465082736399547,3.607932538748201,0.6934504791370815,0.2932398517419388
12669.0,8.15999984741211,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36.0,10.0,221.0,773,1863.0,47.449438202247194,0.0006440918657677883,0.3321078540223783,0.5368055555555555,267.0,349.0,0.2567307692307692,High,Male,59,1.3110318869015458,0.3435897018537088,0.0,3.6109179126442243,2.3978952727983707,7.530479995245536,3.8805207428566932,0.6934500887317788,0.2867625403284554
9705.0,6.48000001907349,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38.0,20.0,164.0,539,1728.0,43.71621621621622,0.0006676970653347233,0.49228395799859365,0.37430555555555556,222.0,318.0,0.29172141918528255,Medium,Male,50,1.4327007475904807,0.5766133482308312,0.0,3.6635616461296463,3.044522437723423,7.455298485683291,3.8003362147174427,0.6934382896369488,0.4003078040473368
13019.0,8.59000015258789,8.59000015258789,3.25,0.639999985694885,4.71000003814697,0.0,42.0,16.0,233.0,1149,1921.0,44.738831615120276,0.0006598049122503949,0.3783469082967222,0.7979166666666667,291.0,391.0,0.20208333333333334,High,Male,40,1.4469189829363254,0.49469623311347594,0.0,3.7612001156935624,2.833213344056216,7.561121589530238,3.8229476442176646,0.6934422345571383,0.32088488858375336
15506.0,9.88000011444092,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50.0,31.0,264.0,775,2035.0,44.94492753623189,0.0006371727147195228,0.357287442358448,0.5381944444444444,345.0,476.0,0.3080357142857143,High,Female,42,1.5107219331792188,0.8415672082868778,0.0,3.9318256327243257,3.4657359027997265,7.618742377670413,3.827443451766533,0.6934535472535474,0.30548818035122055
10544.0,6.67999982833862,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28.0,12.0,205.0,818,1786.0,43.03673469387755,0.0006335356438105672,0.2934131869033956,0.5680555555555555,245.0,313.0,0.23047977422389465,High,Female,26,1.0851892812234587,0.39204208052681017,0.0,3.367295829986474,2.5649493574615367,7.488293515159428,3.785024165006613,0.6934553652302958,0.25728460551216475
9819.0,6.34000015258789,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19.0,8.0,211.0,838,1775.0,41.2563025210084,0.0006456869490363468,0.21135646705491526,0.5819444444444445,238.0,284.0,0.2211895910780669,High,Male,35,0.8501509436339689,0.3001045880351796,0.0,2.995732273553991,2.1972245773362196,7.4821189235521155,3.7437535147730054,0.693449291431372,0.19174077885734242
12764.0,8.13000011444092,8.13000011444092,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66.0,27.0,130.0,1217,1827.0,57.237668161434975,0.0006369476742745942,0.5854858747697784,0.8451388888888889,223.0,382.0,0.15486111111111112,High,Female,45,1.7509375144442296,0.7514160909331522,0.0,4.204692619390966,3.332204510175204,7.510977752014095,4.064532364649971,0.6934536597392962,0.46089090594981724
14371.0,9.03999996185303,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41.0,21.0,262.0,732,1949.0,44.35493827160494,0.0006290446010613756,0.3108407029465898,0.5083333333333333,324.0,427.0,0.3068181818181818,High,Male,39,1.337629174120116,0.6259384334164269,0.0,3.7376696182833684,3.091042453358316,7.575584651557793,3.8145190630606884,0.6934576100572222,0.27066868934896826
